reference,value,footprint,MPN,manufacturer,Category,SKU,quantity
BT1,AA 2pcs,BatteryHolder_Keystone_2462_2xAA,3517,Keystone Electronics,Fuse Holders,1101201246,1
"C2,C5,C1,C3,C6",100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,06035L104K4T2A,Kyocera,Ceramic Capacitors,2500315020,5
C4,"105, 0603",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,06036D105KAT2A,Kyocera,Ceramic Capacitors,1100667884,1
C7,"104,0603",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,06035L104K4T2A,Kyocera,Ceramic Capacitors,2500315020,1
C8,220n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,GCJ188R71E224KA12D,Murata,Ceramic Capacitors,1100664401,1
C10,470u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,EEUFR1E471,Panasonic,Aluminum Electrolytic Capacitors,2103198807,1
"C13,C11,C12,C9",22u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,AMK107BC6226MA-T,Taiyo Yuden,Ceramic Capacitors,1104032773,4
"D2,D3",SS34,D_SMA,1552214,Phoenix Contact,Circular Connectors,1102001408,2
J1,SWD,PinHeader_2x02_P2.54mm_Vertical,5-103330-2,TE Connectivity (Tyco Electronics),Headers,-,1
"J5,J3",JST-PH B2B-PH-K-S,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,B2B-PH-K-S,Japan Solderless Terminals (JST),Wire-to-Board Connectors,1102230744,2
J6,Sharp GP2Y1014AUOF,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,B6B-PH-K,Japan Solderless Terminals (JST),Wire-to-Board Connectors,1102273951,1
J7,USB_C_Receptacle_PowerOnly_6P,USB_C_Receptacle_GCT_USB4135-GF-A_6P_TopMnt_Horizontal,USB4135-GF-A,GCT,Universal,1111341397,1
"L1,L2",470n,L_Coilcraft_XxL4020,06036D474KAT2A,Kyocera,Ceramic Capacitors,2102796422,2
"Q2,Q1",AO3401A,SOT-23-3,AO3401A,UMW,MOSFETs,1100123425,2
R1,"10k, 0603",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,ESR03EZPF1002,Rohm,Chip SMD Resistors,1101304706,1
R2,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,ESR03EZPF1002,Rohm,Chip SMD Resistors,1101304706,1
R3,"220,0603",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,3-6318490-6,TE Connectivity (Tyco Electronics),Board to Board Connectors,1102179821,1
"R4,R15","1k,0603",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,CR0603-FX-1001ELF,Bourns,Chip SMD Resistors,1102936405,2
R6,"110,0603",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,352068-1,TE Connectivity (Tyco Electronics),Board to Board Connectors,1102350199,1
R7,220,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,3-6318490-6,TE Connectivity (Tyco Electronics),Board to Board Connectors,1102179821,1
R8,330,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,A3P030-VQG100,Microchip Technology,FPGAs - Field Programmable Gate Arrays,1102612128,1
R9,150,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,LCMXO1200E-4MN132C,Lattice Semiconductor,FPGAs - Field Programmable Gate Arrays,-,1
"R10,R17",100k Rpg,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,MCR03EZPJ104,Rohm,Chip SMD Resistors,2500336623,2
R11,511k Rfbt,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,RK73H1JTTD5113F,KOA,Chip SMD Resistors,1105920845,1
"R12,R19",91k Rfbb,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,MCR03ERTJ913,Rohm,Chip SMD Resistors,1101348444,2
"R13,R14",5.1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,ERJ3RBD5101V,Panasonic,Chip SMD Resistors,-,2
"R16,R5","470k,0603",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,MCR03ERTJ474,Rohm,Chip SMD Resistors,1006777368,2
R18,806k Rfbt,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,CR0603-FX-8063ELF,Bourns,Chip SMD Resistors,1110098809,1
SW1,SW_Push,SW_PUSH_6mm_H4.3mm,D3C-1210,Omron,Switches,1100315091,1
U1,STM32F103C6Tx,LQFP-48_7x7mm_P0.5mm,AXK5F16347YG,Panasonic,Board to Board Connectors,-,1
U2,Ai-Thinker-Ra-02,Ai-Thinker-Ra-01-LoRa,,,,,1
"U4,U3",TPS63802DLAR,VREG_TPS63802DLAR,TPS63802DLAR,Texas Instruments (TI),DC/DC Switching Regulators,1105860564,2
